wellid,year,sampledate,daynum,ph,ph_bubbled,cond,alk,dic,doc,no3no2,nh4n,totn,totp,drsi,brsi,cl,so4,ca,mg,na,k,fe,mn,flagph,flagph_bubbled,flagalk,flagdic,flagdoc,flagno3no2,flagnh4n,flagtotn,flagtotp,flagdrsi,flagbrsi,flagcl,flagso4,flagca,flagmg,flagna,flagk,flagfe,flagmn
D3,1984,1984-11-07,312,7.73,,,1699,,,70.1,11,,,7718,,11.59,5.45,23.95,5.76,3.64,2.38,,,,,,,,,,,,,,,,,,,,,
D3,1985,1985-03-16,75,7.34,,,1604,,,20.4,10,,,7759,,9.88,5.4,27.2,10.44,3.62,2.47,,,,,,,,,,E,E,,,,,,,,E,,
D3,1985,1985-06-01,152,7.46,,,1655,,,0,24,,,7729,,,5.11,27,6.75,1.05,2.45,,,,,,,,,,,,,,,,,,,,,
D3,1985,1985-08-22,234,,,,,,,0,35,,,7538,,11.95,4.78,26.87,6.85,2.01,2.37,,,,,,,,,,,,,,E,,,,,,,
D3,1985,1985-11-16,320,7.51,,,1987,,,0,57,,,7885,,10.8,4.33,25.02,6.63,3.72,2.27,,,,,,,,,,,E,,,,,E,,,,,
D3,1986,1986-03-01,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,1986,1986-05-13,133,7.87,,,1629,,,42.1,23,,,7326,,5.86,5.16,25.67,6.49,3.49,2.16,,,,,,,,,,,,,,,,,,,,,
D3,1986,1986-09-03,246,7.73,,,1530,,,62.5,13,,,7543,,16.1,5.89,24.25,6.56,3.57,2.14,,,,,,,,,,,,,,,,,,,,,
D3,1986,1986-11-05,309,7.8,,,1662,,,,,,,7954,,13.98,5.37,24.47,6.29,3.44,2.13,,,,,,,,,,,,,,,,,,,,,
D3,1987,1987-11-16,320,7.63,,,,19.86,1.25,,,,,,,9.98,6.37,26.13,6.65,3.4,2.2,,,,,,,,,,,,,,,,,,,,,E
D3,1988,1988-10-27,301,7.96,,182,1582,20.14,1.37,93,13,49,4,8269,6788,10.48,5.95,26.62,6.35,,2.1,0,0.12,,,,,,,,E,E,,,,,,,,E,,
D3,1989,1989-10-24,297,7.67,,196,1570,20.29,4.08,86,15,126,9,8291,8136,9.36,6.26,,6.39,,2.08,0,0.07,,,,,,G,G,,,,,,,H,E,,,,
D3,1990,1990-11-15,319,7.86,,199,1550,20,1.94,97,6,115,5,8870,8943,8.38,6.45,25.56,6.11,3.72,1.97,0.06,0.09,,,,,,,,,,,,,,H,,H,H,,
D3,1991,1991-10-23,296,7.47,,191,1594,20.4,1.44,80,8,121,14,7887,8098,6.85,6.75,,5.89,,2,,,,,,,,,,,,,,,E,,,,,,
D3,1992,1992-12-15,350,7.61,,188,1575,19.3,1.67,,17,324,49,8415,8207,6.07,6.61,24.49,5.97,3.56,2.11,0,0.03,,,,,,G,,D,,,,,B,,,,,,
D3,1993,1993-11-29,333,7.85,,179,1561,19.45,1.1,181,12,163,7,8721,8879,5.89,6.69,22.86,5.99,3.56,1.82,0,0.05,,,,,,,,,,,E,,,HE,,,,,
D3,1994,1994-12-20,354,7.69,,,1597,19.63,1.21,51,13,153,10,7719,7602,7.43,6.88,27.3,7.32,3.78,1.92,0,0.08,,,,,,,,,,,,,,,,,,,
D3,1996,1996-11-20,325,7.92,8.35,183,1458,19.09,1.16,74,7,0,36,14915,13257,7.49,6.73,22.88,6.36,3.94,2.66,2.47,0.12,,,,,,,,,,E,E,,,,,,,,
D3,1997,1997-11-10,314,7.98,,196,1512,19.4,1.37,78,26,95,14,7678,7465,7.66,6.26,24.41,5.99,3.78,1.96,0.05,0.08,,,,,,,,,,,,,,,,,,,
D3,1998,1998-10-27,300,7.9,8.17,185,2822,19.42,0.95,105,4,74,8,8943,8766,8.16,6.69,21.19,5.96,3.52,1.83,0,0.02,,,,,,,,,E,,,,,,,,,,
D3,1999,1999-10-29,302,7.85,8.23,191,2987,19.83,0.98,85,7,293,16,7881,8397,7.97,5.36,24.62,6.06,3.91,2.08,0.02,0.02,,,,,,,,,,,,E,,,,,,,
D3,2000,2000-11-29,303,7.87,8.1,188,1549,19.2,1.18,82,13,217,8,8863,8854,7.73,5.58,23.03,5.77,3.86,1.88,0.01,0.02,,,,,,,,,,,,,,,,,,,
D3,2001,2001-11-05,309,7.85,8.14,193,1485,18.58,1.27,85,10,122,38,9101,8989,5.94,5.53,26.81,6.88,3.88,1.73,0,0.02,,,,,,,,,,,,,,,,,,,
D3,2002,2002-10-28,301,7.74,7.72,185,1415,17.87,0.75,85,2,154,7,9613,9608,7.33,5.94,21.7,5.65,3.64,1.61,0.01,0.01,,,,,,,,,,,,E,E,,,,,,
D3,2003,2003-10-09,282,7.9,8.03,176,1662,19.27,0.72,70,3,139,11,9070,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C
D3,2004,2004-10-20,294,7.78,8.15,175,1615,17.68,1.37,3,16,125,9,8357,,0.84,0.84,23.6,5.66,3.68,1.63,0,0.2,,,,,,,,E,E,E,,AE,AE,,,,,,
D3,2005,2005-11-03,305,7.71,8.16,169,1435,16.74,0.97,113,10,184,15,9097,,7.27,6.19,20.9,5.43,3.74,1.48,0.05,0.02,,,,,,E,E,E,E,,,,,,,,,,
D3,2006,2006-10-10,283,7.77,7.98,162,1339,15.84,0.89,116,7,107,7,9178,,6.97,5.91,22.3,5.38,3.55,1.42,0,0.01,,,,,,E,E,,,,,,,E,E,E,E,E,E
D3,2007,2007-11-01,305,7.78,8.15,191,1404,16.95,1.26,130,40,229,5,8436,,9.31,5.72,25.7,6.08,3.95,1.86,0.01,0.03,,,,,,E,E,,,,,,,,,,,,
D3,2008,2008-10-28,302,7.7,8.13,173,1402,16.42,1.72,56,8,16,129,8911,,7.06,4.98,24.1,5.92,4.11,1.49,0.01,0.01,,,,,,,,E,E,,,,,,,,,,
D3,2009,2009-11-02,306,7.9,8.01,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,1984,1984-11-07,312,5.7,,,272,,,2.4,12,,,6987,,1.05,8,4.92,1.56,1.39,0.57,,,,,,,,,,,,,,,,,,,,,
D4,1985,1985-06-01,152,5.88,,,257,,,2.3,6,,,6451,,0.61,6.78,4.7,1.61,1.33,0.71,,,,,,,,,,,,,,,,,,E,,,
D4,1985,1985-11-16,320,5.77,,,398,,,0,8,,,7353,,1.39,6.91,6.18,1.85,1.51,0.69,,,,,,,,,,,,,,,,,,E,E,,
D4,1986,1986-05-13,133,5.88,,,267,,,2.1,5,,,6240,,2.48,6.06,5.44,1.71,1.32,0.51,,,,,,,,,,E,E,,,,,,,,,,
D4,1988,1988-10-27,301,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,
D4,1990,1990-11-15,319,5.9,,53,249,10.66,2.21,4,35,118,1,7305,7296,0.61,8.1,5.03,1.47,1.81,0.51,0,0,,,,,,,,,,E,E,,,,,,,,
D4,1992,1992-12-15,350,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,
D4,1993,1993-11-29,333,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,
D4,1994,1994-12-20,354,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,
D4,1996,1996-11-20,325,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,
D4,1997,1997-11-10,314,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,
D4,2002,2002-10-28,301,6.03,7.45,49,287,3.87,0.63,21,17,150,9,6668,10630,1.12,4.79,4.83,1.36,1.45,0.42,0.03,0.01,,,,,,,,,,,,,,,,,,,
D4,2003,2003-10-09,282,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,C,C,C
D4,2004,2004-10-20,294,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,C,C,C
