lakeid,season,iceon,ice_on,iceoff,ice_off,ice_duration,year4
WI,1877-78,1877363,12/29/1877,1878068,03/09/1878,70,1877
WI,1878-79,1878340,12/06/1878,1879088,03/29/1879,113,1878
WI,1879-80,1879323,11/19/1879,1880083,03/23/1880,125,1879
WI,1880-81,1880321,11/16/1880,1881119,04/29/1881,164,1880
WI,1881-82,1881324,11/20/1881,1882061,03/02/1882,102,1881
WI,1882-83,1882336,12/02/1882,1883100,04/10/1883,129,1882
WI,1883-84,1883319,11/15/1883,1884104,04/13/1884,150,1883
WI,1884-85,1884329,11/24/1884,1885103,04/13/1885,140,1884
WI,1885-86,1885339,12/05/1885,1886105,04/15/1886,131,1885
WI,1886-87,1886328,11/24/1886,,,-99,1886
WI,1887-88,1887324,11/20/1887,1888104,04/13/1888,145,1887
WI,1888-89,1888347,12/12/1888,1889083,03/24/1889,102,1888
WI,1889-90,,,1890083,03/24/1890,-99,1889
WI,1890-91,1890338,12/04/1890,,,-99,1890
WI,1891-92,,,1892093,04/02/1892,-99,1891
WI,1892-93,1892323,11/18/1892,1893095,04/05/1893,138,1892
WI,1893-94,1893321,11/17/1893,1894069,03/10/1894,113,1893
WI,1894-95,1894319,11/15/1894,,,-99,1894
WI,1895-96,,,1896090,03/30/1896,-99,1895
WI,1913-14,1913306,11/2/13,,,-99,1913
WI,1914-15,1914333,11/29/14,,,-99,1914
WI,1915-16,,,1916080,3/20/16,-99,1915
WI,1916-17,1916332,11/27/16,,,-99,1916
WI,1926-27,1926324,11/20/26,,,-99,1926
WI,1927-28,,,1928084,3/24/28,-99,1927
WI,1928-29,1928334,11/29/28,1929084,3/25/29,116,1928
WI,1929-30,1929321,11/17/29,,,-99,1929
WI,1934-35,,,1935084,3/25/35,-99,1934
WI,1935-36,,,1936084,3/24/36,-99,1935
WI,1936-37,,,1937100,4/10/37,-99,1936
WI,1937-38,,,1938080,3/21/38,-99,1937
WI,1938-39,1938329,11/25/38,1939084,3/25/39,120,1938
WI,1939-40,,,1940100,4/9/40,-99,1939
WI,1940-41,1940318,11/13/40,,,-99,1940
WI,1943-44,,,1944084,3/24/44,-99,1943
WI,1944-45,1944337,12/2/44,1945076,3/17/45,105,1944
WI,1945-46,1945328,11/24/45,1946079,3/20/46,116,1945
WI,1947-48,,,1948086,3/26/48,-99,1947
WI,1948-49,1948342,12/7/48,1949086,3/27/49,110,1948
WI,1949-50,1949329,11/25/49,1950097,4/7/50,133,1949
WI,1950-51,1950327,11/23/50,1951099,4/9/51,137,1950
WI,1952-53,1952333,11/28/52,,,-99,1952
WI,1958-59,1958331,11/27/58,,,-99,1958
WI,1959-60,1959319,11/15/59,,,-99,1959
WI,1962-63,1962343,12/9/62,1963088,3/29/63,110,1962
WI,1968-69,1968342,12/7/68,1969099,4/9/69,123,1968
WI,1969-70,1969340,12/6/69,1970093,4/3/70,118,1969
WI,1970-71,1970343,12/9/70,1971100,4/10/71,122,1970
WI,1971-72,1971336,12/2/71,1972107,4/16/72,136,1971
WI,1972-73,1972335,11/30/72,1973073,3/14/73,104,1972
WI,1973-74,,,1974089,3/30/74,-99,1973
WI,1974-75,1974343,12/9/74,1975109,4/19/75,131,1974
WI,1975-76,1975335,12/1/75,1976081,3/21/76,108,1975
WI,1976-77,,,1977074,3/15/77,-99,1976
WI,1977-78,1977330,11/26/77,1978096,4/6/78,131,1977
WI,1978-79,1978330,11/26/78,1979107,4/17/79,142,1978
WI,1979-80,1979335,12/1/79,1980093,4/2/80,123,1979
WI,1980-81,1980337,12/2/80,1981073,3/14/81,102,1980
WI,1981-82,1981333,11/29/81,,,-99,1981
WI,1982-83,1982343,12/9/82,1983065,3/6/83,87,1982
WI,1983-84,1983343,12/9/83,1984093,4/2/84,115,1983
WI,1984-85,1984323,11/18/84,1985079,3/20/85,110,1984
WI,1985-86,1985329,11/25/85,1986088,3/29/86,124,1985
WI,1986-87,1986317,11/13/86,1987067,3/8/87,115,1986
WI,1987-88,1987339,12/5/87,1988084,3/24/88,102,1987
WI,1988-89,1988343,12/8/88,1989088,3/29/89,111,1988
WI,1989-90,1989326,11/22/89,1990073,3/14/90,112,1989
WI,1990-91,1990338,12/4/90,1991082,3/23/91,109,1990
WI,1991-92,1991309,11/5/91,1992068,3/8/92,124,1991
WI,1992-93,1992320,11/15/92,1993099,4/9/93,135,1992
WI,1993-94,1993332,11/28/93,1994085,3/26/94,103,1993
WI,1994-95,1994342,12/8/94,1995076,3/17/95,99,1994
WI,1995-96,1995316,11/12/95,1996085,3/25/96,134,1995
WI,1996-97,1996332,11/27/96,1997085,3/26/97,119,1996
WI,1997-98,1997342,12/8/97,1998057,2/26/98,80,1997
WI,1998-99,1998356,12/22/98,1999070,3/11/99,79,1998
WI,1999-00,1999352,12/18/99,2000064,3/4/00,77,1999
WI,2000-01,2000326,11/21/00,2001095,4/5/01,135,2000
WI,2001-02,2001358,12/24/01,2002073,3/14/02,80,2001
WI,2002-03,2002336,12/2/02,2003083,3/24/03,112,2002
WI,2003-04,2003343,12/9/03,2004076,3/16/04,98,2003
WI,2004-05,2004349,12/14/04,2005093,4/3/05,110,2004
WI,2005-06,2005329,11/25/05,2006073,3/14/06,104,2005
WI,2006-07,2006337,12/3/06,2007084,3/25/07,106,2006
WI,2007-08,2007334,11/30/07,2008097,4/6/08,128,2007
WI,2008-09,2008327,11/22/08,2009077,3/18/09,116,2008
WI,2009-10,2009344,12/10/09,2010085,3/26/10,106,2009
WI,2010-11,2010338,12/4/10,2011091,4/1/11,119,2010
WI,2011-12,2011345,12/11/11,2012068,3/8/12,86,2011
WI,2012-13,2012356,12/21/12,2013099,4/9/13,109,2012
