lakeid,year4,sampledate,towdepth
"ME",1987,1987-08-18,23.0
"ME",1987,1987-08-24,22.9
"ME",1987,1987-09-08,23.5
"ME",1987,1987-09-22,24.0
"ME",1987,1987-10-08,24.2
"ME",1987,1987-10-19,24.0
"ME",1987,1987-11-02,24.0
"ME",1987,1987-11-16,21.8
"ME",1987,1987-11-30,24.0
"ME",1987,1987-12-14,23.5
"ME",1988,1988-01-25,23.0
"ME",1988,1988-04-11,22.6
"ME",1988,1988-04-25,24.5
"ME",1988,1988-05-11,23.7
"ME",1988,1988-05-25,23.7
"ME",1988,1988-06-06,23.5
"ME",1988,1988-06-20,23.7
"ME",1988,1988-07-05,23.6
"ME",1988,1988-07-19,22.8
"ME",1988,1988-08-01,23.7
"ME",1988,1988-08-16,23.2
"ME",1988,1988-08-30,23.4
"ME",1988,1988-09-11,23.5
"ME",1988,1988-09-26,23.5
"ME",1988,1988-10-12,23.5
"ME",1988,1988-10-26,23.2
"ME",1988,1988-11-07,23.5
"ME",1988,1988-11-22,24.0
"ME",1988,1988-12-05,23.3
"ME",1989,1989-01-23,23.6
"ME",1989,1989-04-10,23.9
"ME",1989,1989-04-24,22.8
"ME",1989,1989-05-08,23.7
"ME",1989,1989-05-22,23.8
"ME",1989,1989-06-05,23.1
"ME",1989,1989-06-19,23.0
"ME",1989,1989-07-05,23.6
"ME",1989,1989-07-17,23.5
"ME",1989,1989-07-31,23.4
"ME",1989,1989-08-14,23.6
"ME",1989,1989-08-31,23.8
"ME",1989,1989-09-11,23.8
"ME",1989,1989-09-25,23.6
"ME",1989,1989-10-09,23.5
"ME",1989,1989-10-23,23.5
"ME",1989,1989-11-06,22.5
"ME",1989,1989-11-20,22.5
"ME",1989,1989-12-06,23.5
"ME",1990,1990-01-23,23.7
"ME",1990,1990-03-01,23.5
"ME",1990,1990-03-26,23.0
"ME",1990,1990-04-09,23.5
"ME",1990,1990-04-23,23.6
"ME",1990,1990-05-07,23.5
"ME",1990,1990-05-21,24.0
"ME",1990,1990-06-04,24.0
"ME",1990,1990-06-19,23.8
"ME",1990,1990-07-02,24.0
"ME",1990,1990-07-16,24.0
"ME",1990,1990-07-29,24.0
"ME",1990,1990-08-13,24.0
"ME",1990,1990-08-27,31.0
"ME",1990,1990-09-10,23.5
"ME",1990,1990-09-24,23.9
"ME",1990,1990-10-11,23.7
"ME",1990,1990-10-23,23.4
"ME",1990,1990-11-06,23.0
"ME",1990,1990-11-19,23.5
"ME",1990,1990-12-10,23.5
"ME",1991,1991-01-29,23.8
"ME",1991,1991-03-11,23.9
"ME",1991,1991-04-08,23.5
"ME",1991,1991-04-22,24.1
"ME",1991,1991-05-07,24.5
"ME",1991,1991-05-22,23.6
"ME",1991,1991-06-03,23.9
"ME",1991,1991-06-17,23.9
"ME",1991,1991-07-01,23.8
"ME",1991,1991-07-15,23.7
"ME",1991,1991-07-29,23.8
"ME",1991,1991-08-12,24.0
"ME",1991,1991-08-29,23.9
"ME",1991,1991-09-12,23.6
"ME",1991,1991-09-24,23.9
"ME",1991,1991-10-07,24.0
"ME",1991,1991-10-22,23.0
"ME",1991,1991-11-04,20.5
"ME",1991,1991-11-18,24.0
"ME",1991,1991-12-03,24.3
"ME",1992,1992-01-21,23.5
"ME",1992,1992-02-24,22.0
"ME",1992,1992-03-30,23.5
"ME",1992,1992-04-13,23.8
"ME",1992,1992-04-27,24.0
"ME",1992,1992-05-11,24.0
"ME",1992,1992-05-26,23.9
"ME",1992,1992-06-08,24.2
"ME",1992,1992-06-22,24.0
"ME",1992,1992-07-07,24.0
"ME",1992,1992-07-21,24.3
"ME",1992,1992-08-03,24.1
"ME",1992,1992-08-17,24.1
"ME",1992,1992-08-31,24.1
"ME",1992,1992-09-14,24.5
"ME",1992,1992-09-29,24.1
"ME",1992,1992-10-12,23.9
"ME",1992,1992-10-26,24.0
"ME",1992,1992-11-09,24.0
"ME",1992,1992-11-23,24.0
"ME",1992,1992-12-07,23.0
"ME",1993,1993-01-25,24.0
"ME",1993,1993-02-22,23.8
"ME",1993,1993-04-12,24.4
"ME",1993,1993-04-22,24.9
"ME",1993,1993-05-10,24.4
"ME",1993,1993-05-25,24.4
"ME",1993,1993-06-07,23.6
"ME",1993,1993-06-21,24.5
"ME",1993,1993-07-06,24.5
"ME",1993,1993-07-19,24.8
"ME",1993,1993-08-02,24.7
"ME",1993,1993-08-16,24.7
"ME",1993,1993-09-01,24.2
"ME",1993,1993-09-14,24.7
"ME",1993,1993-09-27,24.0
"ME",1993,1993-10-12,23.2
"ME",1993,1993-10-25,24.2
"ME",1993,1993-11-08,23.8
"ME",1993,1993-11-22,23.8
"ME",1993,1993-12-08,23.6
"MO",1992,1992-10-26,21.0
"MO",1992,1992-11-09,19.5
"MO",1992,1992-11-23,21.3
"MO",1992,1992-12-07,21.0
"MO",1993,1993-01-25,21.0
