lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice
CB,1,1992,115,1992-04-24,118,1992-04-27,309,1992-11-04,311,1992-11-06
CB,1,1993,116,1993-04-26,118,1993-04-28,309,1993-11-05,312,1993-11-08
CB,1,1994,106,1994-04-16,108,1994-04-18,325,1994-11-21,327,1994-11-23
CB,1,1995,104,1995-04-14,107,1995-04-17,307,1995-11-03,311,1995-11-07
CB,1,1996,126,1996-05-05,127,1996-05-06,314,1996-11-09,316,1996-11-11
CB,1,1997,115,1997-04-25,116,1997-04-26,314,1997-11-10,315,1997-11-11
CB,1,1998,96,1998-04-06,97,1998-04-07,341,1998-12-07,342,1998-12-08
CB,1,1999,99,1999-04-09,102,1999-04-12,328,1999-11-24,331,1999-11-27
CB,1,2000,84,2000-03-24,86,2000-03-26,320,2000-11-15,322,2000-11-17
CB,1,2001,108,2001-04-18,110,2001-04-20,340,2001-12-06,341,2001-12-07
CB,1,2002,107,2002-04-17,109,2002-04-19,317,2002-11-13,318,2002-11-14
CB,1,2003,104,2003-04-14,106,2003-04-16,309,2003-11-05,310,2003-11-06
CB,1,2004,107,2004-04-16,110,2004-04-19,324,2004-11-19,327,2004-11-22
CB,1,2005,101,2005-04-11,102,2005-04-12,320,2005-11-16,321,2005-11-17
CB,1,2006,101,2006-04-11,102,2006-04-12,333,2006-11-29,334,2006-11-30
CB,1,2007,99,2007-04-09,102,2007-04-12,318,2007-11-14,320,2007-11-16
CB,1,2008,114,2008-04-23,116,2008-04-25,319,2008-11-14,322,2008-11-17
CB,1,2009,107,2009-04-17,110,2009-04-20,334,2009-11-30,335,2009-12-01
CB,1,2010,85,2010-03-26,88,2010-03-29,323,2010-11-19,326,2010-11-22
CB,1,2011,113,2011-04-23,115,2011-04-25,322,2011-11-17,323,2011-11-18
CB,1,2012,,,,,328,2012-11-23,331,2012-11-26
CR,1,1981,,,,,338,1981-12-04,345,1981-12-11
CR,1,1982,121,1982-05-01,123,1982-05-03,337,1982-12-03,341,1982-12-07
CR,1,1983,118,1983-04-28,119,1983-04-29,336,1983-12-02,337,1983-12-03
CR,1,1984,110,1984-04-19,111,1984-04-20,331,1984-11-26,336,1984-12-01
CR,1,1985,112,1985-04-22,113,1985-04-23,326,1985-11-22,329,1985-11-25
CR,1,1986,102,1986-04-12,103,1986-04-13,321,1986-11-17,323,1986-11-19
CR,1,1987,98,1987-04-08,99,1987-04-09,334,1987-11-30,337,1987-12-03
CR,1,1988,105,1988-04-14,106,1988-04-15,335,1988-11-30,336,1988-12-01
CR,1,1989,116,1989-04-26,117,1989-04-27,324,1989-11-20,326,1989-11-22
CR,1,1990,103,1990-04-13,106,1990-04-16,334,1990-11-30,337,1990-12-03
CR,1,1991,107,1991-04-17,108,1991-04-18,328,1991-11-24,331,1991-11-27
CR,1,1992,120,1992-04-29,121,1992-04-30,332,1992-11-27,335,1992-11-30
CR,1,1993,120,1993-04-30,122,1993-05-02,328,1993-11-24,335,1993-12-01
CR,1,1994,108,1994-04-18,111,1994-04-21,334,1994-11-30,336,1994-12-02
CR,1,1995,104,1995-04-14,107,1995-04-17,326,1995-11-22,328,1995-11-24
CR,1,1996,131,1996-05-10,132,1996-05-11,327,1996-11-22,330,1996-11-25
CR,1,1997,116,1997-04-26,118,1997-04-28,325,1997-11-21,328,1997-11-24
CR,1,1998,97,1998-04-07,98,1998-04-08,352,1998-12-18,355,1998-12-21
CR,1,1999,104,1999-04-14,105,1999-04-15,350,1999-12-16,351,1999-12-17
CR,1,2000,90,2000-03-30,91,2000-03-31,336,2000-12-01,339,2000-12-04
CR,1,2001,110,2001-04-20,113,2001-04-23,358,2001-12-24,360,2001-12-26
CR,1,2002,107,2002-04-17,109,2002-04-19,329,2002-11-25,331,2002-11-27
CR,1,2003,113,2003-04-23,114,2003-04-24,335,2003-12-01,337,2003-12-03
CR,1,2004,107,2004-04-16,110,2004-04-19,350,2004-12-15,352,2004-12-17
CR,1,2005,103,2005-04-13,105,2005-04-15,336,2005-12-02,337,2005-12-03
CR,1,2006,102,2006-04-12,103,2006-04-13,338,2006-12-04,339,2006-12-05
CR,1,2007,99,2007-04-09,102,2007-04-12,334,2007-11-30,337,2007-12-03
CR,1,2008,120,2008-04-29,121,2008-04-30,333,2008-11-28,336,2008-12-01
CR,1,2009,107,2009-04-17,110,2009-04-20,344,2009-12-10,345,2009-12-11
CR,1,2010,85,2010-03-26,88,2010-03-29,336,2010-12-02,338,2010-12-04
CR,1,2011,117,2011-04-27,118,2011-04-28,338,2011-12-03,340,2011-12-05
CR,1,2012,,,,,342,2012-12-07,345,2012-12-10
LR,1,1983,,,117,1983-04-27,,,318,1983-11-14
LR,2,1983,,,117,1983-04-27,,,318,1983-11-14
LR,1,1984,104,1984-04-13,107,1984-04-16,316,1984-11-11,317,1984-11-12
LR,2,1984,104,1984-04-13,107,1984-04-16,316,1984-11-11,317,1984-11-12
